Abbreviation,TeamName,GridPosition,Position,Points,Year,Race
OCO,Alpine,19.0,13.0,0.0,2021,Mexico City Grand Prix
STR,Aston Martin,20.0,14.0,0.0,2021,Mexico City Grand Prix
BOT,Mercedes,1.0,15.0,0.0,2021,Mexico City Grand Prix
RUS,Williams,16.0,16.0,0.0,2021,Mexico City Grand Prix
LAT,Williams,13.0,17.0,0.0,2021,Mexico City Grand Prix
MAZ,Haas F1 Team,15.0,18.0,0.0,2021,Mexico City Grand Prix
MSC,Haas F1 Team,14.0,19.0,0.0,2021,Mexico City Grand Prix
TSU,AlphaTauri,17.0,20.0,0.0,2021,Mexico City Grand Prix
HAM,Mercedes,10.0,1.0,25.0,2021,São Paulo Grand Prix
VER,Red Bull Racing,2.0,2.0,18.0,2021,São Paulo Grand Prix
BOT,Mercedes,1.0,3.0,15.0,2021,São Paulo Grand Prix
PER,Red Bull Racing,4.0,4.0,13.0,2021,São Paulo Grand Prix
LEC,Ferrari,6.0,5.0,10.0,2021,São Paulo Grand Prix
SAI,Ferrari,3.0,6.0,8.0,2021,São Paulo Grand Prix
GAS,AlphaTauri,7.0,7.0,6.0,2021,São Paulo Grand Prix
OCO,Alpine,8.0,8.0,4.0,2021,São Paulo Grand Prix
ALO,Alpine,12.0,9.0,2.0,2021,São Paulo Grand Prix
NOR,McLaren,5.0,10.0,1.0,2021,São Paulo Grand Prix
VET,Aston Martin,9.0,11.0,0.0,2021,São Paulo Grand Prix
RAI,Alfa Romeo Racing,0.0,12.0,0.0,2021,São Paulo Grand Prix
RUS,Williams,17.0,13.0,0.0,2021,São Paulo Grand Prix
